bodyname; position x; position y; position z
neptune; 15.9147379355976; -25.58648605451187; 0.16010438289699166
sun; 6.812298489372888e-05; -0.0009942145262319712; 2.7831560394564557e-06
jupiter; 4.8913988340807375; 0.7340566299221617; -0.11258471298658193
saturn; 7.587996537812703; 5.280471382004623; -0.39359934986251716
uranus; 13.594401237056191; -14.521183256249408; -0.23020598089492494
neptune; 16.02091915407338; -25.518573152624306; 0.15626480991515274
sun; 9.324369326024924e-05; -0.0013859697655382794; 3.922750448904934e-06
jupiter; 4.825680486895281; 1.075180665210075; -0.1125259579253506
saturn; 7.432527154070311; 5.479007797663756; -0.39087160609238625
uranus; 13.718526658409278; -14.410460315167768; -0.23140651977131305
neptune; 16.136433725115545; -25.4439772349131; 0.15207305979407693
sun; 0.00018444700632226386; -0.0013812524000063658; 1.703435680189938e-06
jupiter; 4.728918543597215; 1.4389804843796479; -0.11186617658979553
saturn; 7.258054889099494; 5.689611412925945; -0.38759775722625683
uranus; 13.851877247371057; -14.289335332579299; -0.23268823510965642
neptune; 16.26119553735748; -25.362567162823968; 0.14752841557380872
sun; 0.0002427309266703061; -0.001829534094254746; 2.2957849440883363e-06
jupiter; 4.5955647317903585; 1.8218294879794215; -0.1104661901325674
saturn; 7.06326697663119; 5.9109869138978555; -0.38370288843175376
uranus; 13.99417291197159; -14.157538849376943; -0.23404649407875414
neptune; 16.395110164463514; -25.274201587560903; 0.1426301416372653
sun; 0.0003805698070010909; -0.0018114740051618796; -1.1074406834136376e-06
jupiter; 4.420110045662835; 2.219031271352176; -0.10818328676449004
saturn; 6.846812741772936; 6.141659054916606; -0.3791074040132594
uranus; 14.145107667120648; -14.014785613542623; -0.2354762691001533
neptune; 16.53807458595137; -25.17872912389318; 0.13737749360244894
sun; 0.000483157767551969; -0.0023064086352543047; -1.3768973041136795e-06
jupiter; 4.197297529402848; 2.624715178831198; -0.10487555587003443
saturn; 6.607321914648073; 6.379957671848387; -0.37372748591615945
uranus; 14.304348794722785; -13.860775740896703; -0.23697213151659777
neptune; 16.68997691134311; -25.07598855659173; 0.13176972906236922
sun; 0.0006782657422348142; -0.0022628092528663994; -6.278473130309732e-06
jupiter; 3.9223825595661914; 3.0317652980919436; -0.10040741918085942
saturn; 6.343427007629622; 6.624003420669149; -0.36747574216163886
uranus; 14.471535870795938; -13.695195952892824; -0.23852824317736704
neptune; 16.850696058958384; -24.965809046378865; 0.1258061190425137
sun; 0.0008347841649714175; -0.0027897467850957905; -7.71329431662068e-06
jupiter; 3.5914234072565674; 3.4317999817870937; -0.09465604725954282
saturn; 6.05378767604651; 6.87169399989345; -0.36026194018834634
uranus; 14.646279883259497; -13.517720942016233; -0.24013835046762452
neptune; 17.02010145048022; -24.84801037701745; 0.1194859603236081
sun; 0.0010952102391548308; -0.00270346985323262; -1.4393126796574922e-05
jupiter; 3.2016102596532394; 3.8152155166626343; -0.08751889274393276
saturn; 5.737120272982337; 7.120692535511545; -0.3519940139804221
uranus; 14.828162184955609; -13.328014816601476; -0.24179577555613002
neptune; 17.19805264841762; -24.722403195919178; 0.1128085884828877
sun; 0.0013115077548704528; -0.0032428697868408154; -1.7235073947904373e-05
jupiter; 2.7515975134314257; 4.171303585799485; -0.07892159877430238
saturn; 5.39222943336186; 7.368417137337558; -0.3425791704058294
uranus; 15.016733601193234; -13.125732682366795; -0.2434934112922265
neptune; 17.384399025500727; -24.58878930608073; 0.10577339180556296
sun; 0.0016402501228382107; -0.003092203996600807; -2.5881027030801342e-05
jupiter; 2.2418463177763877; 4.488460633020488; -0.06882650741704545
saturn; 5.0180459128590655; 7.612034414237896; -0.3319253452487713
uranus; 15.211513331758445; -12.910522309417845; -0.2452237124368045
neptune; 17.57897936175818; -24.446961944407782; 0.098379825932532
sun; 0.0019158321103061864; -0.0036205761646866054; -3.0247765601940687e-05
jupiter; 1.6749260616602635; 4.754477360437409; -0.05724058614334153
saturn; 4.613665987659272; 7.848454549925998; -0.31994272052533107
uranus; 15.411988084330115; -12.682025940520141; -0.2469786919824154
neptune; 17.781621493914372; -24.296706123083887; 0.09062742936015854
sun; 0.0023083102700775797; -0.0033808143244650987; -4.089134139000982e-05
jupiter; 1.055781304932935; 4.956931536027613; -0.04422301042217382
saturn; 4.178397387977324; 8.074332584581477; -0.30654561855589413
uranus; 15.61761095227565; -12.439882196810567; -0.24874991273072733
neptune; 17.9921418732808; -24.137798949243685; 0.0825158397206901
sun; 0.0026340104240084256; -0.0038729595066792576; -4.6713585221201575e-05
jupiter; 0.3919095966355493; 5.083637931504041; -0.029891008153647786
saturn; 3.711805361345183; 8.286071660973288; -0.2916543705811914
uranus; 15.827800613724033; -12.183728121518607; -0.25052848562963465
neptune; 18.210345201084802; -23.970010020628852; 0.0740448108599473
sun; 0.0030761112070233202; -0.0035192823757188058; -5.917250760339954e-05
